No,; Time ;Source;Destination;Protocol;Length;Info;;;;;;;;;;;time 1;time2;delay;;delay 1;delay 2;jitter
168; 57,116,163 ;192,168,100,56;203,205,239,243;TCP;54;52436  >  80 [FIN, ACK] Seq=763 Ack=315 Win=65222 Len=0;;;;;;;;;;;;;;;;;
169; 57,308,375 ;203,205,239,243;192,168,100,56;TCP;60;80  >  52436 [ACK] Seq=315 Ack=764 Win=4998 Len=0;;;;;;;;;;;;;;;;;
170; 57,308,375 ;203,205,239,243;192,168,100,56;TCP;54;80  >  52436 [FIN, ACK] Seq=315 Ack=764 Win=4998 Len=0;;;;;;;;;;;;;;;;;
171; 57,308,425 ;192,168,100,56;203,205,239,243;TCP;54;52436  >  80 [ACK] Seq=764 Ack=316 Win=65222 Len=0;;;;;;;;;;;;;;;;;
172; 57,309,360 ;192,168,100,56;203,205,239,243;TCP;66;52438  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1;;;;;;;;;;;;;;;;;
173; 57,309,493 ;192,168,100,56;203,205,239,243;TCP;66;52439  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1;;;;;;;;;;;;;;;;;
174; 57,320,850 ;203,205,239,243;192,168,100,56;TCP;62;80  >  52438 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1;;;;;;;;;;;;;;;;;
175; 57,320,850 ;203,205,239,243;192,168,100,56;TCP;62;80  >  52439 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1;;;;;;;;;;;;;;;;;
176; 57,320,929 ;192,168,100,56;203,205,239,243;TCP;54;52438  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0;;;;;;;;;;;;;;;;;
177; 57,320,976 ;192,168,100,56;203,205,239,243;TCP;54;52439  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0;;;;;;;;;;;;;;;;;
